vector_size;measure;second_object;time
250;1;matrix;8.28E-05
250;2;matrix;3.38E-05
250;3;matrix;3.38E-05
250;4;matrix;1.80E-05
250;5;matrix;1.70E-05
250;6;matrix;1.69E-05
250;7;matrix;1.87E-05
250;8;matrix;1.70E-05
250;9;matrix;1.69E-05
250;10;matrix;1.75E-05
500;1;matrix;0.0003161
500;2;matrix;0.0001746
500;3;matrix;9.87E-05
500;4;matrix;8.64E-05
500;5;matrix;8.66E-05
500;6;matrix;0.0001016
500;7;matrix;7.74E-05
500;8;matrix;0.0001307
500;9;matrix;0.0001273
500;10;matrix;7.45E-05
750;1;matrix;0.0008109
750;2;matrix;0.0003609
750;3;matrix;0.0003639
750;4;matrix;0.0001958
750;5;matrix;0.0001811
750;6;matrix;0.0002308
750;7;matrix;0.0001628
750;8;matrix;0.0001598
750;9;matrix;0.0001446
750;10;matrix;0.000147
1000;1;matrix;0.0008444
1000;2;matrix;0.0004676
1000;3;matrix;0.0005656
1000;4;matrix;0.0003569
1000;5;matrix;0.0003668
1000;6;matrix;0.0003345
1000;7;matrix;0.0002981
1000;8;matrix;0.0002691
1000;9;matrix;0.0002627
1000;10;matrix;0.000261
2500;1;matrix;0.0055903
2500;2;matrix;0.0033469
2500;3;matrix;0.004007
2500;4;matrix;0.0029259
2500;5;matrix;0.0032061
2500;6;matrix;0.0029427
2500;7;matrix;0.0032047
2500;8;matrix;0.003224
2500;9;matrix;0.0029336
2500;10;matrix;0.0029605
4000;1;matrix;0.0138864
4000;2;matrix;0.0078241
4000;3;matrix;0.0083951
4000;4;matrix;0.0080512
4000;5;matrix;0.008444
4000;6;matrix;0.0078918
4000;7;matrix;0.0085013
4000;8;matrix;0.0080701
4000;9;matrix;0.0083418
4000;10;matrix;0.0080635
5000;1;matrix;0.0129106
5000;2;matrix;0.0123103
5000;3;matrix;0.0123828
5000;4;matrix;0.0119968
5000;5;matrix;0.0122279
5000;6;matrix;0.0122978
5000;7;matrix;0.0122262
5000;8;matrix;0.0121599
5000;9;matrix;0.0121653
5000;10;matrix;0.0123474
6000;1;matrix;0.0180786
6000;2;matrix;0.0179512
6000;3;matrix;0.017814
6000;4;matrix;0.0177381
6000;5;matrix;0.0178013
6000;6;matrix;0.0179938
6000;7;matrix;0.0178706
6000;8;matrix;0.0178145
6000;9;matrix;0.0177637
6000;10;matrix;0.0177542
7500;1;matrix;0.0277985
7500;2;matrix;0.0274152
7500;3;matrix;0.027018
7500;4;matrix;0.0271096
7500;5;matrix;0.0271084
7500;6;matrix;0.0269893
7500;7;matrix;0.0287773
7500;8;matrix;0.0288216
7500;9;matrix;0.0279317
7500;10;matrix;0.0314108
8000;1;matrix;0.0349362
8000;2;matrix;0.034339
8000;3;matrix;0.0339491
8000;4;matrix;0.0356732
8000;5;matrix;0.0359542
8000;6;matrix;0.0339309
8000;7;matrix;0.0338196
8000;8;matrix;0.0346542
8000;9;matrix;0.0337921
8000;10;matrix;0.0344071
10000;1;matrix;0.052965
10000;2;matrix;0.0524878
10000;3;matrix;0.0522302
10000;4;matrix;0.0521796
10000;5;matrix;0.0522877
10000;6;matrix;0.0518169
10000;7;matrix;0.0501611
10000;8;matrix;0.0511614
10000;9;matrix;0.0504301
10000;10;matrix;0.0501917
